Sun,star,,0,0
Mercury,planet,Sun,57910,87.97
Venus,planet,Sun,108200,224.7
Earth,planet,Sun,149600,365.26
Mars,planet,Sun,227940,686.98
Jupiter,planet,Sun,778330,4332.71
Saturn,planet,Sun,1429400,10759.5
Uranus,planet,Sun,2870990,30685
Neptune,planet,Sun,4504300,60190
Pluto,dwarfplanet,Sun,5913520,90550
Moon,moon,Earth,384,27.32
Phobos,moon,Mars,9,0.32
Deimos,moon,Mars,23,1.26
Metis,moon,Jupiter,128,0.29
Adrastea,moon,Jupiter,129,0.3
Amalthea,moon,Jupiter,181,0.5
Thebe,moon,Jupiter,222,0.67
Io,moon,Jupiter,422,1.77
Europa,moon,Jupiter,671,3.55
Ganymede,moon,Jupiter,1070,7.15
Callisto,moon,Jupiter,1883,16.69
Leda,moon,Jupiter,11094,238.72
Himalia,moon,Jupiter,11480,250.57
Lysithea,moon,Jupiter,11720,259.22
Elara,moon,Jupiter,11737,259.65
Ananke,moon,Jupiter,21200,-631
Carme,moon,Jupiter,22600,-692
Pasiphae,moon,Jupiter,23500,-735
Sinope,moon,Jupiter,23700,-758
Pan,moon,Saturn,134,0.58
Atlas,moon,Saturn,138,0.6
Prometheus,moon,Saturn,139,0.61
Pandora,moon,Saturn,142,0.63
Epimetheus,moon,Saturn,151,0.69
Janus,moon,Saturn,151,0.69
Mimas,moon,Saturn,186,0.94
Enceladus,moon,Saturn,238,1.37
Tethys,moon,Saturn,295,1.89
Telesto,moon,Saturn,295,1.89
Calypso,moon,Saturn,295,1.89
Dione,moon,Saturn,377,2.74
Helene,moon,Saturn,377,2.74
Rhea,moon,Saturn,527,4.52
Titan,moon,Saturn,1222,15.95
Hyperion,moon,Saturn,1481,21.28
Iapetus,moon,Saturn,3561,79.33
Phoebe,moon,Saturn,12952,-550.48
Cordelia,moon,Uranus,50,0.34
Ophelia,moon,Uranus,54,0.38
Bianca,moon,Uranus,59,0.43
Cressida,moon,Uranus,62,0.46
Desdemona,moon,Uranus,63,0.47
Juliet,moon,Uranus,64,0.49
Portia,moon,Uranus,66,0.51
Rosalind,moon,Uranus,70,0.56
Belinda,moon,Uranus,75,0.62
Puck,moon,Uranus,86,0.76
Miranda,moon,Uranus,130,1.41
Ariel,moon,Uranus,191,2.52
Umbriel,moon,Uranus,266,4.14
Titania,moon,Uranus,436,8.71
Oberon,moon,Uranus,583,13.46
Caliban,moon,Uranus,7169,-580
Stephano,moon,Uranus,7948,-674
Sycorax,moon,Uranus,12213,-1289
Prospero,moon,Uranus,16568,-2019
Setebos,moon,Uranus,17681,-2239
Naiad,moon,Neptune,48,0.29
Thalassa,moon,Neptune,50,0.31
Despina,moon,Neptune,53,0.33
Galatea,moon,Neptune,62,0.43
Larissa,moon,Neptune,74,0.55
Proteus,moon,Neptune,118,1.12
Triton,moon,Neptune,355,-5.88
Nereid,moon,Neptune,5513,360.13
Charon,moon,Pluto,20,6.39
Nix,moon,Pluto,49,24.86
Hydra,moon,Pluto,65,38.21
